Pipe ID,Start Node,End Node,Diameter (inch),Length,Cost
1,1,2,12.0,100.0,4573.0
2,2,3,12.0,1350.0,61735.49999999999
3,3,4,16.0,900.0,63360.00000000001
4,4,5,12.0,1150.0,52589.5
5,5,6,12.0,1450.0,66308.5
6,6,7,12.0,450.0,20578.5
7,7,8,16.0,850.0,59840.00000000001
8,8,9,12.0,850.0,38870.5
9,9,10,12.0,800.0,36584.0
10,10,11,12.0,950.0,43443.5
11,11,12,12.0,1200.0,54875.99999999999
12,12,13,12.0,3500.0,160055.0
13,10,14,12.0,800.0,36584.0
14,14,15,16.0,500.0,35200.0
15,15,16,12.0,550.0,25151.5
16,17,16,12.0,2730.0,124842.9
17,18,17,12.0,1750.0,80027.5
18,19,18,12.0,800.0,36584.0
19,3,19,12.0,400.0,18292.0
20,3,20,12.0,2200.0,100606.0
21,20,21,12.0,1500.0,68595.0
22,21,22,12.0,500.0,22865.0
23,20,23,12.0,2650.0,121184.49999999999
24,23,24,12.0,1230.0,56247.899999999994
25,24,25,12.0,1300.0,59448.99999999999
26,26,25,12.0,850.0,38870.5
27,27,26,12.0,300.0,13718.999999999998
28,16,27,12.0,750.0,34297.5
29,23,28,12.0,1500.0,68595.0
30,28,29,12.0,2000.0,91460.0
31,29,30,12.0,1600.0,73168.0
32,30,31,12.0,150.0,6859.499999999999
33,32,31,12.0,860.0,39327.799999999996
34,25,32,16.0,950.0,66880.0
