Pipe ID,Start Node,End Node,Diameter (inch),Length,Cost
1,126,125001,113.0,65.0,469.3
2,125001,125,113.0,260.0,1877.2
3,125,124,113.0,164.0,1184.08
4,124,106,113.0,250.0,1805.0
8,106,161,113.0,100.0,722.0
10,161,162,113.0,68.0,490.96
11,162,163,113.0,164.0,1184.08
12,163,164,113.0,164.0,1184.08
13,163,165,113.0,65.0,469.3
15,165,166,113.0,98.0,707.56
16,166,168,113.0,145.0,1046.8999999999999
17,165,170,113.0,96.0,693.12
18,170,171001,113.0,181.0,1306.82
19,171001,171,113.0,92.0,664.24
20,171,172,113.0,100.0,722.0
21,171001,173,113.0,177.0,1277.94
22,173,179,113.0,159.0,1147.98
23,173,174,113.0,155.0,1119.1
26,179,179001,113.0,168.0,1212.96
27,179,177,113.0,103.0,743.66
28,168,169,113.0,113.0,815.86
30,124,127,113.0,850.0,6137.0
32,128,129,113.0,149.0,1075.78
33,129,130,113.0,175.0,1263.5
34,127001,131001,113.0,500.0,3610.0
35,131,132,113.0,134.0,967.48
40,131001,131,113.0,164.0,1184.08
41,131,133,113.0,137.0,989.14
42,133,134,113.0,223.0,1610.06
43,131001,135,113.0,394.0,2844.68
44,135,136,113.0,191.0,1379.02
46,136,137,113.0,440.0,3176.7999999999997
47,136,138,113.0,459.0,3313.98
50,136,139,113.0,184.0,1328.48
56,141,143,113.0,300.0,2166.0
57,143,144,113.0,116.0,837.52
58,144,145,113.0,198.0,1429.56
59,141,142,113.0,510.0,3682.2
61,141,140001,113.0,127.0,916.9399999999999
62,140001,151,113.0,189.0,1364.58
63,151,152,113.0,95.0,685.9
65,124,107,113.0,250.0,1805.0
67,107,108,113.0,375.0,2707.5
68,108,109,113.0,100.0,722.0
69,109,110,113.0,231.0,1667.82
70,110,111,113.0,61.0,440.41999999999996
71,110,112,113.0,282.0,2036.04
73,112,113,113.0,88.0,635.36
74,113,114,113.0,134.0,967.48
77,115,116,113.0,40.0,288.8
78,116,117,113.0,189.0,1364.58
81,119,118,113.0,225.0,1624.5
82,117,119,113.0,201.0,1451.22
38,106,105,113.0,66.0,476.52
39,105,102,113.0,78.0,563.16
49,102,100,113.0,197.0,1422.34
52,100,101,113.0,197.0,1422.34
53,102,103,113.0,177.0,1277.94
83,103,104,113.0,85.0,613.6999999999999
84,100,96,113.0,222.0,1602.84
86,96,97,113.0,288.0,2079.36
87,97,98,113.0,130.0,938.6
88,98,99,113.0,127.0,916.9399999999999
89,96,93,113.0,96.0,693.12
91,93,94,113.0,110.0,794.1999999999999
92,94,95,113.0,205.0,1480.1
94,93,92,113.0,176.0,1270.72
95,92,91,113.0,300.0,2166.0
96,91,160,113.0,500.0,3610.0
97,160,159001,113.0,119.0,859.18
98,159001,159,113.0,228.0,1646.1599999999999
99,159,156,113.0,295.0,2129.9
101,156,157,113.0,191.0,1379.02
102,157,158,113.0,129.0,931.38
103,156,155,113.0,152.0,1097.44
104,155,154,113.0,115.0,830.3
105,155,153,113.0,444.0,3205.68
108,55,59,113.0,580.0,4187.599999999999
110,59,60,113.0,350.0,2527.0
112,60,61,113.0,209.0,1508.98
113,60,62,113.0,212.0,1530.6399999999999
114,141,147,113.0,455.0,3285.1
115,147,148,113.0,250.0,1805.0
116,148,150,113.0,168.0,1212.96
118,148,149,113.0,145.0,1046.8999999999999
121,63,64,113.0,172.0,1241.84
122,64,65,113.0,110.0,794.1999999999999
123,65,66,113.0,250.0,1805.0
125,67,68,113.0,148.0,1068.56
126,68,69,113.0,123.0,888.06
127,68,70,113.0,139.0,1003.5799999999999
128,70,71,113.0,210.0,1516.2
132,55,56,113.0,159.0,1147.98
133,56,57,113.0,144.0,1039.68
134,57,58,113.0,148.0,1068.56
136,52,53,113.0,161.0,1162.42
137,53,54,113.0,267.0,1927.74
138,55,52,113.0,320.0,2310.4
139,52,46001,113.0,444.0,3205.68
140,46001,50,113.0,184.0,1328.48
141,50,51,113.0,322.0,2324.84
142,46001,47,113.0,228.0,1646.1599999999999
143,47,48,113.0,129.0,931.38
144,48,49,113.0,254.0,1833.8799999999999
146,41,42,113.0,224.0,1617.28
147,42,45,113.0,202.0,1458.44
148,45,46,113.0,162.0,1169.6399999999999
149,45001,41,113.0,435.0,3140.7
150,41,35,113.0,488.0,3523.3599999999997
151,35,36,113.0,179.0,1292.3799999999999
152,36,39,113.0,137.0,989.14
153,39,40,113.0,160.0,1155.2
154,36,37,113.0,168.0,1212.96
155,35,31,113.0,350.0,2527.0
157,31,32,113.0,246.0,1776.12
159,32,33,113.0,100.0,722.0
164,91,90,113.0,750.0,5415.0
167,90,89,113.0,250.0,1805.0
169,31,28,113.0,250.0,1805.0
170,28001,28,113.0,200.0,1444.0
171,28,29,113.0,273.0,1971.06
172,29,30,113.0,205.0,1480.1
173,90,28001,113.0,200.0,1444.0
174,28001,27,113.0,312.0,2252.64
175,27,26,113.0,308.0,2223.7599999999998
176,26,23,113.0,40.0,288.8
90,83,77,113.0,346.0,2498.12
107,77,81,113.0,334.0,2411.48
191,81,78,113.0,73.0,527.06
192,78,79,113.0,114.0,823.0799999999999
193,79,80,113.0,93.0,671.4599999999999
198,84,85,113.0,161.0,1162.42
199,115,120,113.0,221.0,1595.62
200,120,121,113.0,150.0,1083.0
201,121,122,113.0,254.0,1833.8799999999999
202,122,123,113.0,160.0,1155.2
204,77,75,113.0,400.0,2888.0
208,77,76,113.0,66.0,476.52
212,73,74,113.0,127.0,916.9399999999999
220,219,220,113.0,105.0,758.1
224,220,221,113.0,187.0,1350.1399999999999
226,221,222,113.0,86.0,620.92
227,222,223,113.0,126.0,909.7199999999999
228,221,223001,113.0,250.0,1805.0
229,223001,224,113.0,116.0,837.52
230,224,225,113.0,269.0,1942.1799999999998
231,225,226,113.0,42.0,303.24
244,215,214,113.0,329.0,2375.38
245,214,216,113.0,145.0,1046.8999999999999
246,216,217,113.0,56.0,404.32
247,216,218,113.0,171.0,1234.62
249,214,203,113.0,236.0,1703.9199999999998
251,215001,202001,113.0,264.0,1906.08
254,203,204,113.0,108.0,779.76
255,204,205,113.0,125.0,902.5
256,204,211,113.0,190.0,1371.8
257,211,212,113.0,269.0,1942.1799999999998
258,205,206,113.0,227.0,1638.94
259,206,207,113.0,110.0,794.1999999999999
260,207,208,113.0,110.0,794.1999999999999
261,208,213,113.0,140.0,1010.8
262,208,209,113.0,284.0,2050.48
263,209,210,113.0,298.0,2151.56
265,203,201,113.0,200.0,1444.0
268,201,200001,113.0,150.0,1083.0
269,200001,199,113.0,193.0,1393.46
271,234,230,113.0,73.0,527.06
272,230,231,113.0,156.0,1126.32
273,231,232,113.0,132.0,953.04
274,232,233,113.0,106.0,765.3199999999999
275,199,196,113.0,160.0,1155.2
276,196,197,113.0,225.0,1624.5
277,197,198,113.0,93.0,671.4599999999999
278,199,192,113.0,325.0,2346.5
279,192,194,113.0,106.0,765.3199999999999
280,194,195,113.0,194.0,1400.68
282,192,193,113.0,103.0,743.66
284,234,234001,113.0,149.0,1075.78
288,236,237,113.0,138.0,996.36
289,237,238,113.0,146.0,1054.12
291,238,239,113.0,147.0,1061.34
207,192,190001,113.0,398.0,2873.56
292,190001,190,113.0,131.0,945.8199999999999
294,187,186,113.0,38.0,274.36
295,186,185,113.0,78.0,563.16
296,187,188,113.0,287.0,2072.14
297,188,189,113.0,253.0,1826.6599999999999
299,235001,241,113.0,215.0,1552.3
300,241,242,113.0,170.0,1227.3999999999999
301,241,243,113.0,135.0,974.6999999999999
302,243,244,113.0,145.0,1046.8999999999999
304,244,245,113.0,254.0,1833.8799999999999
306,182,183,113.0,103.0,743.66
307,183,184,113.0,85.0,613.6999999999999
308,187,182,113.0,600.0,4332.0
311,182,249,113.0,300.0,2166.0
312,249,248,113.0,100.0,722.0
313,248,247,113.0,306.0,2209.3199999999997
315,247,246,113.0,256.0,1848.32
316,246,245,113.0,239.0,1725.58
317,180001,249,113.0,450.0,3249.0
318,180001,181,113.0,130.0,938.6
322,187,190,113.0,268.0,1934.96
323,190,191,113.0,70.0,505.4
324,180004,180003,113.0,471.0,3400.62
325,180002,180003,113.0,176.0,1270.72
328,180,180001,113.0,190.0,1371.8
332,199,200,113.0,158.0,1140.76
333,202001,284,113.0,206.0,1487.32
334,287,286,113.0,83.0,599.26
335,286,285,113.0,165.0,1191.3
336,285,284,113.0,69.0,498.18
338,202001,38,113.0,200.0,1444.0
342,274,275,113.0,90.0,649.8
343,275,276,113.0,137.0,989.14
346,268,269,113.0,58.0,418.76
348,271,270,113.0,107.0,772.54
350,318,317,113.0,118.0,851.9599999999999
351,317,316,113.0,177.0,1277.94
352,316,315,113.0,153.0,1104.6599999999999
353,315,313,113.0,133.0,960.26
354,313,314,113.0,170.0,1227.3999999999999
355,313,312,113.0,210.0,1516.2
356,312,310,113.0,165.0,1191.3
357,310,311,113.0,115.0,830.3
358,310,309,113.0,163.0,1176.86
359,309,297,113.0,100.0,722.0
361,297,298,113.0,110.0,794.1999999999999
362,298,299,113.0,182.0,1314.04
363,297,296,113.0,93.0,671.4599999999999
364,296,294,113.0,151.0,1090.22
365,294,293,113.0,85.0,613.6999999999999
366,293,229,113.0,300.0,2166.0
367,293,291,113.0,250.0,1805.0
369,296,295,113.0,132.0,953.04
373,288,289,113.0,211.0,1523.4199999999998
374,289,290,113.0,69.0,498.18
375,288,282,113.0,400.0,2888.0
376,282,277,113.0,259.0,1869.98
379,277,278,113.0,155.0,1119.1
380,278,279,113.0,187.0,1350.1399999999999
381,279,280,113.0,222.0,1602.84
382,280,281,113.0,82.0,592.04
385,271,272,113.0,220.0,1588.3999999999999
386,271,273,113.0,300.0,2166.0
394,268,260001,113.0,270.0,1949.3999999999999
397,262,261,113.0,78.0,563.16
401,262,263,113.0,90.0,649.8
404,255,258,113.0,123.0,888.06
405,258,259,113.0,86.0,620.92
406,259,260,113.0,81.0,584.8199999999999
407,255,256,113.0,51.0,368.21999999999997
408,256,257,113.0,212.0,1530.6399999999999
409,255,254,113.0,400.0,2888.0
414,421,180002,113.0,218.0,1573.96
