Pipe ID,Start Node,End Node,Diameter (mm),Length,Cost
1,1,2,40.0,100.0,27827.999999999996
2,2,3,40.0,1350.0,375677.99999999994
3,3,4,40.0,900.0,250451.99999999997
4,4,5,40.0,1150.0,320021.99999999994
5,5,6,40.0,1450.0,403505.99999999994
6,6,7,40.0,450.0,125225.99999999999
7,7,8,40.0,850.0,236537.99999999997
8,8,9,40.0,850.0,236537.99999999997
9,9,10,40.0,800.0,222623.99999999997
10,10,11,40.0,950.0,264366.0
11,11,12,40.0,1200.0,333935.99999999994
12,12,13,40.0,3500.0,973979.9999999999
13,10,14,40.0,800.0,222623.99999999997
14,14,15,40.0,500.0,139140.0
15,15,16,40.0,550.0,153053.99999999997
16,17,16,40.0,2730.0,759704.3999999999
17,18,17,40.0,1750.0,486989.99999999994
18,19,18,40.0,800.0,222623.99999999997
19,3,19,40.0,400.0,111311.99999999999
20,3,20,40.0,2200.0,612215.9999999999
21,20,21,40.0,1500.0,417419.99999999994
22,21,22,40.0,500.0,139140.0
23,20,23,40.0,2650.0,737441.9999999999
24,23,24,40.0,1230.0,342284.39999999997
25,24,25,40.0,1300.0,361763.99999999994
26,26,25,40.0,850.0,236537.99999999997
27,27,26,40.0,300.0,83483.99999999999
28,16,27,40.0,750.0,208709.99999999997
29,23,28,40.0,1500.0,417419.99999999994
30,28,29,40.0,2000.0,556560.0
31,29,30,40.0,1600.0,445247.99999999994
32,30,31,40.0,150.0,41741.99999999999
33,32,31,40.0,860.0,239320.8
34,25,32,40.0,950.0,264366.0
