Pipe ID,Start Node,End Node,Diameter (inch),Length,Cost
1,1,2,40.0,100.0,27827.999999999996
2,2,3,40.0,1350.0,375677.99999999994
3,3,4,24.0,900.0,116397.00000000001
4,4,5,30.0,1150.0,207862.5
5,5,6,30.0,1450.0,262087.5
6,6,7,24.0,450.0,58198.50000000001
7,7,8,16.0,850.0,59840.00000000001
8,8,9,12.0,850.0,38870.5
9,9,10,12.0,800.0,36584.0
10,10,11,30.0,950.0,171712.5
11,11,12,30.0,1200.0,216900.0
12,12,13,24.0,3500.0,452655.00000000006
13,10,14,30.0,800.0,144600.0
14,14,15,40.0,500.0,139140.0
15,15,16,40.0,550.0,153053.99999999997
16,17,16,40.0,2730.0,759704.3999999999
17,18,17,40.0,1750.0,486989.99999999994
18,19,18,40.0,800.0,222623.99999999997
19,3,19,40.0,400.0,111311.99999999999
20,3,20,40.0,2200.0,612215.9999999999
21,20,21,20.0,1500.0,147585.0
22,21,22,12.0,500.0,22865.0
23,20,23,30.0,2650.0,478987.5
24,23,24,24.0,1230.0,159075.90000000002
25,24,25,24.0,1300.0,168129.00000000003
26,26,25,12.0,850.0,38870.5
27,27,26,16.0,300.0,21120.0
28,16,27,24.0,750.0,96997.50000000001
29,23,28,20.0,1500.0,147585.0
30,28,29,16.0,2000.0,140800.0
31,29,30,16.0,1600.0,112640.00000000001
32,30,31,12.0,150.0,6859.499999999999
33,32,31,16.0,860.0,60544.00000000001
34,25,32,24.0,950.0,122863.50000000001
